archive_study_id,archive_title,socsci210_experiment_id,socsci210_title,match_rule,deduplication_disposition,outcome_access
Silverman1035,Can Factual Misperceptions be Corrected? An Experiment on American Public Fears of Terrorism,a7uk3,Can Factual Misperceptions be Corrected? An Experiment on American Public Fears of Terrorism,normalized_exact_title,exclude_from_external_universe,sealed
Stoker1063,Equivalency Framing of Societal Problems and Policy Solutions,wmsah,Equivalency Framing of Societal Problems and Policy Solutions,normalized_exact_title,exclude_from_external_universe,sealed
Terman1029,"Human Rights Shaming, Compliance, and Nationalist Backlash",q8ra3,"Human Rights Shaming, Compliance, and Nationalist Backlash",normalized_exact_title,exclude_from_external_universe,sealed
WallaceS9,"International Law, (Non)Compliance, and Domestic Audience Costs",8jv6a,"International Law, (Non)Compliance, and Domestic Audience Costs",normalized_exact_title,exclude_from_external_universe,sealed
Williamson859,“The Taxpayer Gap”: Perceptions of the Taxpaying Population and Opposition to Welfare Spending,bsd7j,“The Taxpayer Gap”: Perceptions of the Taxpaying Population and Opposition to Welfare Spending,normalized_exact_title,exclude_from_external_universe,sealed
berganS20,The Flexible Correction Model and Party Labels,zb5nv,The Flexible Correction Model and Party Labels,normalized_exact_title,exclude_from_external_universe,sealed
bolsenM6,Do Messages That Encourage the Use of They/Them Pronouns Influence Public Opinion?,yg958,Do Messages That Encourage the Use of They/Them Pronouns Influence Public Opinion?,normalized_exact_title,exclude_from_external_universe,sealed
bucci1408,Accounting for the Correlation between Perceived Risks and Rewards to Crime,4fsg5,Accounting for the Correlation between Perceived Risks and Rewards to Crime,normalized_exact_title,exclude_from_external_universe,sealed
caprarielloS2,"To Do, to Have, or to Share? Valuing Experiences and Material Possessions by Involving Others",9263n,"To Do, to Have, or to Share? Valuing Experiences and Material Possessions by Involving Others",normalized_exact_title,exclude_from_external_universe,sealed
flavinS4,Public Attitudes about Political Equality,s2rd5,Public Attitudes about Political Equality,normalized_exact_title,exclude_from_external_universe,sealed
jacobsenS7,Informing the Public or Information Overload? The influence of school accountability data format and on public satisfaction,zsekp,Informing the Public or Information Overload? The influence of school accountability data format and on public satisfaction,normalized_exact_title,exclude_from_external_universe,sealed
melloS6,Patient Responses to Medical Error Disclosure: Does Compensation Matter?,ndhyr,Patient Responses to Medical Error Disclosure: Does Compensation Matter?,normalized_exact_title,exclude_from_external_universe,sealed
parmerS15,Smallpox Vaccine Recommendations: Could Trust be a Shot in the Arm?,jf46x,Smallpox Vaccine Recommendations: Could Trust be a Shot in the Arm?,normalized_exact_title,exclude_from_external_universe,sealed
pedullaS18,"The Mechanisms of Labor Market Discrimination: How Sex, Gender Role, and Sexual Orientation Treatments Impact Evaluations of Black Male Job Applicants",48p7y,"The Mechanisms of Labor Market Discrimination: How Sex, Gender Role, and Sexual Orientation Treatments Impact Evaluations of Black Male Job Applicants",normalized_exact_title,exclude_from_external_universe,sealed
piazzaS8,Terrorism Suspect Religious Identity and Public Support for Controversial Detention and Interrogation Practices,rdmus,Terrorism Suspect Religious Identity and Public Support for Controversial Detention and Interrogation Practices,normalized_exact_title,exclude_from_external_universe,sealed
senS81,Understanding Ideal Descriptive Representation,qkhdg,Understanding Ideal Descriptive Representation,normalized_exact_title,exclude_from_external_universe,sealed
shaferS9,Why Hillary Rodham Became Hillary Clinton: Consequences of Non-Traditional Last Name Choice in Marriage,qmfy4,Why Hillary Rodham Became Hillary Clinton: Consequences of Non-Traditional Last Name Choice in Marriage,normalized_exact_title,exclude_from_external_universe,sealed
thompsonS10,"Terrorist Threat: Overreactions, Underreactions, and Realistic Reaction",xc4yq,"Terrorist Threat: Overreactions, Underreactions, and Realistic Reaction",normalized_exact_title,exclude_from_external_universe,sealed
wayne841,The Emotional Substrates of Support for Authoritarian Populists,xy8jw,The Emotional Substrates of Support for Authoritarian Populists,normalized_exact_title,exclude_from_external_universe,sealed
