audit_order,experiment_id,selection_hash,osf_title,osf_url,released_condition_count,min_participants_per_condition,stable_common_task_ids,source_metadata_status,source_audit_status,outcome_access
22,gx6hp,576a34ff57a79b494bb142cdf63c68ed9fe7bedd5ee17d0342d3e2e74e96b0d8,Consequences of Violent Political Rhetoric,https://osf.io/gx6hp/,2,251,0|1|2|3|4|5|6|7|8|9|10,pinned,source_screened_core,sealed
23,ftwqy,595a55e14ed9dc87b7d76034c40c30fa94e001796f657f5a21f2f96949486ee8,Devaluation and Valuation in the Labor Market,https://osf.io/ftwqy/,2,299,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21,pinned,source_screened_extension,sealed
24,jtgyq,5c073f518b93d73afebeeba46d36235697d14d989564f9b229d32635b84c5d7c,Explaining the Prevalence of White Biological Racism against Blacks,https://osf.io/jtgyq/,2,676,1,pinned,source_screened_extension,sealed
25,84vy3,5c18c7f53590059d5efd0123f6b8240541a029876431683d49dbca9d329a4295,User-Generated Political Communication: An Experimental Test of Perceived Credibility and Persuasive Impact,https://osf.io/84vy3/,2,246,0|1|2,pinned,source_screened_extension,sealed
26,9fehm,618c8c2ba78010480e2daa5e9ad904586106ec62177718e1aaad55eac46c9af6,Intuitive Conservatives and Analytical Liberals: Ideology and Dual-Processing Theory,https://osf.io/9fehm/,3,173,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,pinned,source_screened_extension,sealed
27,es4xw,64f69c3c89641b500546d75ac4bbecba334e9f679cde16462fb905ebf32c4bca,Perceptions of Diversity Across Groups,https://osf.io/es4xw/,4,604,1|2,pinned,source_screened_extension,sealed
28,w72cz,6734d398cbbbaf1958a9bca2465a21af744d1b824e8ae58e281669040a3dc3a7,Can masking of video data reduce perceived invasion of privacy?,https://osf.io/w72cz/,4,510,0|1|2|3,pinned,source_screened_extension,sealed
29,z358z,6c8c9d1701f439028783ada7fb1b75ab26e4797a15e8117fe062f203fb640110,Randomized Drug Trials without Consent? The Public's Perspective,https://osf.io/z358z/,4,488,2|3|4|5|6,pinned,source_screened_extension,sealed
30,e2pyb,70c07fb0391edc5dde8d8bc03315bdffa208cd1ef4537b6bb6adb45bbe002021,Health-Related Racial Inequality Motivates Support for Action,https://osf.io/e2pyb/,3,529,0,pinned,source_screened_extension,sealed
31,52ymc,72c0406a2bd13470f902f5563d4c758b3f0cc9e1955e8e3335f8d35afeb52c2f,Do White Americans’ Beliefs about Racial Inequality depend on the Sex of the Target Group? Evidence from a Survey Based Experiment,https://osf.io/52ymc/,3,1180,0|1|2|3,pinned,source_screened_ineligible,sealed
32,hgmu6,753013e523ec32353dae47e3e708d17e78f27247a9702b605e0d0d13ed3cf885,Backlash Effect? White Americans' Response to the Coronavirus Pandemic,https://osf.io/hgmu6/,2,288,0|1|2|3|4|5|6|7,pinned,source_screened_core,sealed
33,yp736,7563b16e931bf3aaa11ead9008aa1228c98b43974b1b4f0506132e929f4cb838,Politics and purity: The effect of elite partisan cues on pathogen perceptions,https://osf.io/yp736/,3,641,3|4|5,refetched,source_screened_extension,sealed
34,fct42,78759467abfac263265d63feb64871fac6eed17118d472c5f934c0a6b183a77b,What Counts as Racism? How Conceptual Disagreement Fuels Social and Political Division,https://osf.io/fct42/,2,1011,4|5|6,pinned,source_screened_ineligible,sealed
35,xtvu5,790c9de4d5011c50f82c59f9b8bc8e6faee6bdd8b12a9fb4e9b2f34203b5c9eb,Effects of Misinformation News Coverage on Media Trust,https://osf.io/xtvu5/,2,1059,0|1|2|3|4|5|6|7|8|9|10,refetched,source_screened_ineligible,sealed
36,3rvgz,7eaf5282ad9c827603d76c8a9bd5269ea889406bf383e5cdfe4449ff58d6ce12,Racialized Organizations and the Reproduction of Inequality: Assessing Support for Whiteness as a Credential and the Preservation of Racial Ignorance,https://osf.io/3rvgz/,2,442,4|13|14|15|16|22|23,pinned,source_screened_ineligible,sealed
37,ztwqy,97c6693902c9f97c7cbd1aef55bb38d260520c237ccdee5809a179ac1e40d102,Understanding the Expense Prediction Bias,https://osf.io/ztwqy/,3,413,0|1|4|5|6|7|8|9|10,refetched,source_screened_extension,sealed
38,5hqan,98c790e424a4ae870076b2d57c33523f08678ff7d87e5c40983dd28812ad8f9d,Gender Identity and Diversity,https://osf.io/5hqan/,2,1029,0|1|2,pinned,source_screened_ineligible,sealed
39,yn7mx,9926362cb13880ea5bb16c2697598e9faa7b85ebc70e8ea631d9e906adec083d,Do Americans Think Surgeon = Male in 2019?,https://osf.io/yn7mx/,3,1000,0|1,pinned,source_screened_ineligible,sealed
40,s43kb,9bd7fe41eb2dc8a48b504a4856ecd2945baab6c2fab01c8ae86c7f68b3fee828,How Conflict Orientation Influences Emotional and Political Responses to Incivility,https://osf.io/s43kb/,4,749,0|1|2|3|4|5|6|7|8|9,pinned,source_screened_extension,sealed
