audit_order,archive_study_id,source_id,source_url,source_file_count,source_bundle_sha256,source_files,outcome_access
12,Iles1294,s6urt,https://osf.io/s6urt/,6,1ce0a7cd4b0c6e69432aae663e4f97cdb01aba8ba5557df3f489aaa28c845118,"8041.078 TESS Iles_Codebook.xlsx=436deb7059fdafb587eb2996b62f860d94ce48f49a380a192e5ab3532fca192f|8041.078 TESS Iles_Programming Questionnaire.docx=17381f65903acaa9cac361b399fdb73f75dd0b0d9fe409280bc72530f707dee3|8041.078 TESS Iles_Project Report.pdf=a3b6acf4244778f3b9610f02b5880ab15f751f85b77d6caaaf1165423a3c2b3b|8041.078 TESS Iles_Simple Questionnaire.docx=f7503123c3d12fba463838f34646d495cdfbdd990dbb69f007d2e52cfd7fd47d|TESS-1294.R1 description 2.docx=93c5c9d1f0c70344e08bfd0bacfbbaa647f58c2017e20d6cc1124466f918d76a|TESS-1294.R1 IRB.pdf=3d09c6fb0a7712d1d48a961b46270850aa02663538b98794bc7f10619b3312c0",sealed
13,Blair1131,8u3vd,https://osf.io/8u3vd/,5,f3b8749e1a76e64a96969d3c99ef061eaaf6f4ce647cd85d132a6ed0bafa8e22,"8041.045 TESS Blair Field Report.pdf=e3753354201100c95dc5a31a30ee7e8966f219759a19e96e79e8f31fac5bfb9f|8041.045_Northwestern_TESS 045 Blair_quex_v3clean.docx=26c97d60874445b54f054460233c569a8a2bd5b7fa7096aca7a54b19c727036e|8041.045_TESS045_Blair_Codebook.xlsx=16a98fa574d53350afdc8bfa63252796c456edb45fb3658d3dc5d5fc0118527f|Blair1131.pdf=8b98260dd6bea676706a43756da8d62b9287d1d51194f780fc54c67bdd605d54|TESS-1131.R1 description.docx=621e423ca3aacc1375aacad31f869552514d5af9ec9a37ab2aacdfe8874190ff",sealed
14,KrupnikovS34,7hjgf,https://osf.io/7hjgf/,4,d9dccf123b79bf722af2f4151fbed09ae61ce004094ee880f4a4cb0e19092cc4,"[8041.033.035.036] TESS Combined_v10clean (1).docx=73ed02020204f781fd8cd46c372b8ad4d7c3b3d27ab2ee48d0ec33ad276b566e|8041.035 TESS Krupnikov Field Report.pdf=b8eb984edcad01a56e58e82e92415ced77aa22354266f5ef23b92762787ec12a|8041.035_KRUPNIKOV_SURVEY_Codebook.xlsx=4cafa081c7c8f4ce52457bcd371b8053a7cf7048400579117539544d73f99575|S34 description.docx=ffeb8078e6ae9e73279a4ef971036a658b02919432d995e79dea2c063faeb646",sealed
15,turagaS11,euw7p,https://osf.io/euw7p/,2,c4a9c8fb1719666080d5259178abda668890d45cabbde3754e97887331b95972,"Knowledge Networks Methodology.pdf=2023a20ade50a4b775c28db714b8cd6ed876237599784ae5a3c5c5ff5c1f2b5f|TESS2_030_Turaga_FINAL.doc=8259b893cb29223cdaee42ee2c31f8abe340fc657d209cad228a44b0f7e81fa9",sealed
16,SchaadS62,9nphm,https://osf.io/9nphm/,6,4a693657fde96ffe67770690ca56945ff7b1c0c4a97053d423fe8d6371d53710,"072 Schaad Codebook.xlsx=6549b8e4664680c1dc116e7261e5e497bb7a5d991bdcd14f680f0aee262b1075|8041.067_072_076_077_TESS067 072 076 077_v6clean.docx=48c24011f3c4dd7705d83deeafb88dacea2bd9f0db32dd407fabc52ec5ae369b|8041.067_072_076_077_TESS067 072 076 077_vFINAL.docx=77b1aa5e5d0e7e7a16a2a59efd42728884cb97a802b94ab27a4365961bacab36|8041.072 TESS Schaad Project Report.pdf=f6a901b9a7c5de03d75af7a0c7d622ba74a6fb6aa9e78c85a23daeb300aa6e88|S63.R1 description.pdf=f4e9e87ea1db5525b4b691bda442119f7870a4edeb13bfe4cfa8869e25127d50|SchaadS62.pdf=18909a1a03a0ad5d1c6aa93414960ef267c3d261739cf9abc6ac9167e00c0329",sealed
17,dennyS17,n394s,https://osf.io/n394s/,1,1da5b8657b413170a9c8499df224bd15600d92347523a68b75faf208137929c5,"dennyS17/TESS2 108 Denny Survey.docx=4314787009d8c82f5d60b7022efd30b2b21e322b3acdb8e519e8ae1906b3f2fb",result_text_exposed_ineligible
18,death_penalty,10.1111/j.1540-5907.2007.00293.x,https://doi.org/10.1111/j.1540-5907.2007.00293.x,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,sealed
19,Braman751,k8pwg,https://osf.io/k8pwg/,1,ec2ccd69d43613d27fdff8debc583d628c77e7729e99cbe33c0c7b84be9be7a5,"Braman751/310.209.01087.1_TESS3225_Braman_Northwestern_University _v3.00.docx=efcfbefc9bb609ba5020e32ed2d7db2366ed2c504788768fe3905f9bde082338",sealed
20,Schnabel903,xk9ch,https://osf.io/xk9ch/,1,0dcfa5f1d9c130d73b2de284f35015fddac4d91c43689294eaf833b141f7b65c,Schnabel903/8041_TESS014_Schnabel_v6clean.docx=dd7260463ecb91ffabb4dbdc9c688ef34ff176cc8bc15c65a4998aa0f1a4c127,sealed
21,wallaceS12,ps5a2,https://osf.io/ps5a2/,1,1c271a2d1a3f12d4d30e74969dd528c526963d97223be2482f1aa92bd9f03fc3,wallaceS12/K3542_TESS2 097 Wallace_FINAL.docx=b45e023efa0eea3b2274e49bc0a0da49fffad75d8203618b408d18632b964316,sealed
22,gashS5,10.1111/polp.12128,https://doi.org/10.1111/polp.12128,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,sealed
23,McCabeS19,3pcdm,https://osf.io/3pcdm/,1,bfb5c219eba0b4faded4cc1c0080edd004175994e8a393b436161d27659b0bf6,McCabeS19/8041.017.018_Martin.McCabe_v11clean.docx=73edfdce6a9349ac66b81b9e1952764cd4c359bd6bc669117eeaab4be8ecb6a8,sealed
24,KlarS44,ndtfe,https://osf.io/ndtfe/,4,2e565384e77b5205e4b47669a105cdde201f57215c89002b03b4015ee23dd3f5,"KlarS44/8041.040_.043_TESS_40_43_Thorson_Klar_v6clean.docx=1c4e3fd5bbed380b71051f4ae0ba6871f2483c1bbdbf659aaec93e44b6adeaaf|KlarS44/8041.043 TESS 043 Klar Field Report.pdf=632b24e3b382b3f06ae39a6bc22a762f9f6081d48566e0613c8bd475f94c7744|KlarS44/8041.043_TESS 043 Klar_Codebook.xlsx=492222837da72cd0018ca983dd4b27463860caaf813fad130e04224db6f4e2fb|KlarS44/S44-Klar.docx=ce2f8fb5f7c77d6011d8f9dfa6236f4e06de0a0c17ab0066e193f7a3a09e74b3",sealed
25,relihan1399,yp736,https://osf.io/yp736/,1,6797cd5b9fd24699ef8b7ac54bc37ad4bc6519c686604b307dbfd77dab9e060c,relihan1399/[8041.0102] TESS Relihan_Programming Questionnaire.docx=6aaa68d65f845700cad61b5cd98c0f40a9668c0da733442c25db2a4c3439e835,sealed
26,Howard823,ztwqy,https://osf.io/ztwqy/,2,171f66a3896c6b9b25ab7d09aaa59a3843452e6e7abbe0c3dfef3b4a10caaad2,ztwqy/Howard823.pdf=912c8190b2f430c1a353a40145c4ec31a185d3193d07738cbc449e5761d3aae2|ztwqy/Howard823_final.docx=91febd5bdeb7cb63e4805de22b5ae523a1e77690007c4bd7bd5d62d73fb309d9,sealed
27,MunschS68,d4zua,https://osf.io/d4zua/,1,fee5aba3f95ec442f0442d6801d527b97d975005d0a48d191e4d6c7e642b5350,MunschS68/8041.067_072_076_077_TESS067 072 076 077_vFINAL.docx=020c7fafefb1bc993fbe5eef1bbd2356ed617d4769ec0cb1b9248744c6c15a69,sealed
28,immigration,10.1111/j.1540-5907.2008.00353.x,https://doi.org/10.1111/j.1540-5907.2008.00353.x,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,sealed
29,Enos700,bgdqr,https://osf.io/bgdqr/,1,bc5e9dd2cbf6c4b2605b286b8af82802b9886d09908fafa92bfad2d2655af3b5,Enos700/310.111.00555.1_TESS3 196 Enos_final.docx=6b733066e4031a7ca6cb7222aef05c5d3dabffdb0e94e34808dcd5a9ee0283c2,sealed
30,system_threat,345ms,https://osf.io/345ms/,3,5a318cb8868e589b3626696975fd5d22dfea45cc5b667d1c5c6cb970d662f9b9,"345ms/Craig271.pdf=630b99b4752fef5d4f1bafbc415fdeb90126d3abfa7fa56182555545035383bd|345ms/Craig271.zip=e4d45650a7478a105c025ba18511f8354d4d0b2bf7ffa12f7670f77b1c2b797d|345ms/TESS2 107 Craig Survey.doc=dde3bf62d888198f627308f0964bb3a2b83d7ae2425833bb8db6cb1a4ec24344",result_text_exposed_ineligible
31,willer845,d3agv,https://osf.io/d3agv/,1,1cf642469bc5eccc100bd4cba10f8fe725d6e59ac8a5aa0c70d3324dd6629fd5,d3agv/310.209.01145.1_TESS3228_Willer_Northwestern_University _v0.02_Final.docx=1a80dd1cbb93c3199c40a4cde84fe90ac6818bf836cce1de80fad0666298d0ee,sealed
