audit_order,freeze_order,archive_study_id,paradigm_group,randomization_unit,design_class,arm_structure,action_set_status,modality,primary_track,scientific_status,outcome_mapping_status,exclusion_reason,outcome_access,notes
18,19,death_penalty,unresolved,unresolved,unresolved,"No final instrument, programmed questionnaire, codebook, supplement, or official design repository was recovered from direct DOI and repository metadata; treatment cells and outcome scale remain unknown.",unresolved,unknown,source_blocked,source_blocked,archive_label_only_unverified,no_final_instrument_or_direct_design_materials_recovered,sealed,"The DOI and publication identity are stable, but the result-bearing article was not opened to reverse-engineer the design. Randomization, stimuli, action set, outcome wording and orientation, beneficiary, sample identity, and possible fielding duplication therefore remain unverified. No participant data, abstract, result text, or aggregate statistic was opened."
19,20,Braman751,constitutional_authority_public_support_and_policy_legitimacy,participant,between_subject_2x3x2_fabricated_factual_article_factorial,"Twelve cells cross gun regulation versus undocumented-student tuition policy, three asserted constitutional-authority or expert-consensus states, and asserted public support over 85% versus under 15%.",fabricated_factual_world_states_not_deployable,text,ineligible,ineligible,not_applicable,fabricated_factual_world_states_not_deployable_actions,sealed,"The final instrument and debrief prove that the articles manufacture public-support levels, expert consensus, predicted Supreme Court treatment, and constitutional authority. A legitimate communicator cannot choose these claims under one fixed factual world, and issue-fixed subsets do not repair the truthfulness failure. The staged audit stopped after the final instrument. No participant file or result-bearing text was opened."
20,21,Schnabel903,religion_gender_stereotype_measurement,participant,multiple_independent_identity_attribute_factorials_and_false_feedback,"Independent randomized components vary a target's religion, gender, religiousness, dogmatism, or institution and separately provide a fabricated personal gender-identity score before perception or religious-attitude questions.",target_attributes_and_measurement_not_deployable_actions,text,ineligible,ineligible,not_applicable,target_identity_and_biography_factorials_with_no_deployable_action_or_stable_utility,sealed,"The final instrument proves that the primary components alter target identity or biography and elicit femininity and masculinity perceptions without a stable beneficiary or monotone decision utility. The separate score component uses knowingly fabricated feedback and likewise lacks a defensible utility. The staged audit stopped after the standalone questionnaire; no archive, participant data, proposal, manuscript, field report, or results were opened."
21,22,wallaceS12,international_law_commitment_compliance_and_reputation,participant,between_subject_2x3x2_factorial_with_frozen_action_subset,"Twelve cells cross military versus economic context, hard treaty versus soft guideline versus no commitment, and violate or act versus comply or refrain. The deterministic subset freezes military source cells 1–6.",coherent_for_frozen_cells_1_2_3_4_5_6,text,extension_factorial_action_subset,eligible_extension,source_verified_scoring_contract_complete,,sealed,"A target-country policymaker can choose among six complete commitment-and-conduct strategies in one military context. Source Q1 asks U.S. support for a future military-cooperation agreement on a 1–5 support-to-oppose scale; lower response is better only for the target country's narrow reputational objective. Economic cells 7–12 are an omitted context and cannot form another task. Outcome-blind schema inspection froze XTESS097, Q1, weight, missing code -1, cell-6 reference, weighted Hajek estimation, and retained-cell support of 240/237/244/244/251/245 rows. No Q1 value, outcome summary, effect, or winner was opened."
22,23,gashS5,unresolved,unresolved,unresolved,"No final questionnaire, programmed instrument, codebook, supplement, or verified experiment-level design deposit was recovered from permitted direct metadata sources.",unresolved,unknown,source_blocked,source_blocked,archive_label_only_unverified,no_recoverable_final_instrument_or_verified_experiment_identity_from_permitted_stage_1_sources,sealed,"The archive title maps bibliographically to DOI 10.1111/polp.12128, but the publication title differs and no direct instrument verifies the exact archived fielding. Randomization, cells, action set, outcome scale, utility, beneficiary, and experiment-level duplication remain unresolved. The result-bearing article was not opened. No participant data or result text was accessed."
23,24,McCabeS19,health_cost_attribution_and_contact,participant,between_subject_five_arm_health_cost_frame,"Five cells assign control, insurer-experience, provider-experience, insurer-plus-government-cue, or provider-plus-government-cue frames before blame and contact-intention outcomes.",duplicate_fielding,text,ineligible,ineligible,not_applicable,duplicate_of_socsci210_3pcdm,sealed,"The official OSF node is exactly SocSci210 study 3pcdm and the final instrument identifies the same TESS 018 module, so this external row cannot add an independent experiment. The staged audit stopped at the duplicate gate. No participant file, codebook, field report, proposal, manuscript, or result-bearing text was opened."
24,25,KlarS44,abortion_issue_framing_and_civic_efficacy,participant,between_subject_three_arm_frame_with_randomized_comodule_order,"Control describes restrictive abortion laws generally; the gender frame emphasizes men and an attack on women; the partisan frame emphasizes Republicans and an attack on Democrats. A separately randomized Thorson module may appear first or second.",coherent_three_arm_historical_frame_policy,text,extension_cofielded_message_policy,eligible_extension,source_verified_weight_and_order_contract_pending,,sealed,"The three descriptions can coexist and are deployable historical communication frames. Catalogued Q1 abortion importance has no stable population-wide utility and Q3 does not identify the candidate; applying the frozen outcome hierarchy therefore selects catalogued Q2 perceived citizen efficacy, a 1–7 agree-to-disagree scale with U=(7-Y)/6 for a narrow civic-efficacy objective. This is not abortion-policy or public-welfare utility. Before scoring, verify historical truth, allocation, stored variable and weight mapping, and marginalize over shared-module order. Klar shares respondents and fielding with SocSci210 xtvu5/ThorsonS42, so they must share a split/fielding cluster and do not count as independent experiments for effective-N claims. No participant outcome or result-bearing text was opened."
25,27,relihan1399,pathogen_elite_partisan_cue_and_purity,participant,between_subject_three_arm_fabricated_elite_cue_article,"A neutral fictitious-pathogen article is compared with articles attributing opposing concern and dismissal statements to named Democratic and Republican elites; the partisan direction is reversed across the two cue arms.",fabricated_factual_world_states_not_deployable,text,ineligible,ineligible,not_applicable,factual_world_change_and_non_deployable_fabricated_elite_cue,sealed,"The final instrument and debrief prove that the AP article and named elite statements were created for the experiment. Assignment therefore changes asserted external facts and elite positions rather than a truthful action under one fixed world. The staged audit stopped after the programmed questionnaire. No participant file, frequency table, project report, proposal, manuscript, or result-bearing text was opened."
26,28,Howard823,expense_forecasting_debiasing,participant,duplicate_of_source_audited_socsci_experiment,"The external row resolves to the same OSF node, title, field instrument, and source bundle as SocSci210 study ztwqy.",duplicate_fielding,unknown,ineligible,ineligible,not_applicable,duplicate_of_socsci210_ztwqy,sealed,"Stable OSF and local source metadata prove that this is the already audited SocSci210 expense-forecasting experiment ztwqy, so it cannot add an independent task. The staged audit stopped at the duplicate gate; no new archive, participant data, publication prose, or results were opened."
27,29,MunschS68,overwork_gender_and_applicant_evaluation,participant,factorial_applicant_gender_work_history_performance_attributes,"The vignette varies applicant gender and name, actual 40-hour versus 50–60-hour work history, and a randomized performance rank before workplace evaluations and hiring judgments.",target_attributes_and_biography_not_deployable,text,ineligible,ineligible,not_applicable,target_identity_and_work_biography_attributes_not_deployable_actions,sealed,"The final instrument proves that assignment changes the applicant's identity, work biography, and performance facts rather than an intervention applied to one fixed target. Holding gender fixed does not repair the factual-biography change. The module is also co-fielded with SocSci210 9nphm and must not be treated as an independent respondent sample. The staged audit stopped after the questionnaire; no participant data, codebook, report, proposal, manuscript, or results were opened."
28,30,immigration,unresolved,unresolved,unresolved,"No final questionnaire, programmed instrument, supplement, or verified design deposit was recovered from permitted direct metadata sources.",unresolved,unknown,source_blocked,source_blocked,archive_label_only_unverified,no_recoverable_final_instrument_or_verified_design_deposit_from_permitted_stage_1_sources,sealed,"The archive row maps bibliographically to DOI 10.1111/j.1540-5907.2008.00353.x, but randomization, exact treatment cells, action set, outcome scale, utility, beneficiary, and source-level duplication cannot be verified without a direct instrument. The result-bearing article was not opened. No participant data, abstract, or result text was accessed."
29,31,Enos700,modern_racism_measurement_target_substitution,participant,between_subject_three_arm_question_target_label_substitution,"The same modern-racism measurement substitutes Black, Surinamese, or Mauritanian as the group named in each item before later common attitude blocks.",measurement_wording_not_deployable_action,text,ineligible,ineligible,not_applicable,measurement_target_group_substitution_no_deployable_action_or_stable_utility,sealed,"The catalogued primary is the wording-manipulated measurement itself, not a downstream outcome from a deployable intervention. Later stereotype and contested policy attitudes do not supply a source-grounded monotone utility or stable beneficiary. The staged audit stopped after the final questionnaire; no participant file, methodology, response report, proposal, manuscript, or result-bearing text was opened."
30,11,system_threat,demographic_change_threat,participant,one_factor_two_arm,"The external row resolves to TESS2 107: a majority-minority Census release versus geographic-mobility control with the same system-threat outcomes already represented by SocSci210 345ms.",duplicate_fielding,text,ineligible,ineligible,not_applicable,duplicate_of_socsci210_345ms,result_text_exposed_ineligible,"Official TESS program, instrument, stimuli, source proposal, and outcome identity prove that this is the same fielded experiment as SocSci210 345ms, so it cannot add an independent task. Crossref metadata unexpectedly embedded a qualitative result-bearing abstract; it was not used for deduplication. No participant values or arm statistics were opened. The linked SocSci210 345ms row is conservatively development-only and barred from canonical test evaluation."
31,26,willer845,racial_and_economic_threat_candidate_support,participant,between_subject_three_arm_distinct_factual_evidence_articles,"Economic-insecurity evidence and forecasts, racial-demographic-change evidence, or unrelated geographic-mobility evidence are presented before threat perceptions and candidate support outcomes.",factual_world_states_not_deployable,text,ineligible,ineligible,not_applicable,factual_world_or_evidence_change_and_no_coherent_deployable_action_set,sealed,"Identity recovery resolved the metadata orphan to official TESS/OSF node d3agv. The final instrument proves that arms substitute different factual evidence and world descriptions rather than truthful actions available to one decision-maker under a fixed world. No participant file, report, proposal, manuscript, result prose, or outcome data was opened."
