freeze_order,archive_study_id,selection_hash,study_title,study_authors,archive_source_class,study_field,source_link,deduplication_status,notes,outcome_access
15,KrupnikovS34,872c573ff4215aab418e4426baacd03e613cc5de3ed66e5657c5912d472c63b2,The Partisan Gender Gap: Genuine Attachment or Social Motivation?,Yanna Krupnikov,tess,"Political Science, Communication",https://academic.oup.com/poq/article/85/2/678/6375399?login=true,pending_source_audit,,sealed
16,turagaS11,8ace8c43f9121d758c166804f12e7a3ac093b77d699bfc6f614888a585c644f2,"Environmental Values, Beliefs, and Behavior",Mohana Turaga,non_tess,Social Policy,https://www.tandfonline.com/doi/full/10.1080/10807039.2013.858526,pending_source_audit,,sealed
17,SchaadS62,936a28ff0019bd74d1286a730278b4a4b2df5fa168be007d76fcf25199676b02,Telling the Story Right: Explaining Support for Transgender and Non-Binary Rights,Kylar Schaad,tess,Sociology,NA,pending_source_audit,,sealed
18,dennyS17,9db27fd183c726baae3110caa2a7a7e30dd16f8d63ee33bdcfde8e4230ea2b55,"Examining the ‘Raced’ Fatherhood Premium: Workplace Evaluations of Men by Race, Fatherhood Status, and Level of Involvement",Kathleen Denny,non_tess,Sociology,https://www.tessexperiments.org/sup/DennyWorkingPaper.pdf,pending_source_audit,,sealed
19,death_penalty,a2a5935f6bc168773ef9f837f5d44e4b2452646a041d6f77d7418e9726b82770,Persuasion and Resistance: Race and the Death Penalty in America,Mark Peffley; Jon Hurwitz,non_tess,"Political Science, Political Psychology",https://onlinelibrary.wiley.com/doi/10.1111/j.1540-5907.2007.00293.x,pending_source_audit,,sealed
20,Braman751,a5b84469d055d9d83f69b4c5a4a9d92520bf359126fd22a20937bd9c76338bc9,"Exploring the Role of Constitutional Considerations, Public Support and Personal Preferences in Citizen Assessments of Proposed Congressional Action on Immigration and Gun Control",Eileen Braman,tess,"Political Science, Law, Psychology",https://onlinelibrary.wiley.com/doi/abs/10.1111/ajps.12582,pending_source_audit,,sealed
21,Schnabel903,abe1e40497c9619a8960d5b6062bbc099210949f8ee1bc0fb116034809c22cdf,"Are Religions Gender-Typed? The Perceived Femininity and Masculinity of Christians, Jews, Muslims, and Atheists",Landon Schnabel,tess,"Sociology, Religion, Gender, Femininity, Masculinity",https://www.proquest.com/docview/2309942217?pq-origsite=gscholar&fromopenview=true,pending_source_audit,,sealed
22,wallaceS12,ac608ac89f02c9ebf43aea1c269de34714524d103175872875028b731ecb29c0,The Reputational Consequences of International Law and Compliance,Geoffrey P. R. Wallace,non_tess,Political Science,Apparently the study is published but I can't access it: https://www.semanticscholar.org/paper/The-Reputational-Consequences-of-International-Wallace/494ca50ceba824d5583724b70f8bdd878505e11e,pending_source_audit,,sealed
23,gashS5,b0e3bf461bc6830a92a642fa9564a04de2f0c824ea72137c11a9808d523502ee,Understanding How Policy Venue Influences Public Opinion,Alison Gash; Michael Murakami,non_tess,Political Science,https://onlinelibrary.wiley.com/doi/abs/10.1111/polp.12128,pending_source_audit,,sealed
24,McCabeS19,b432f7db6eed853d6e1dd5f2d5c8440b6b406f8c5fb2869e3a0d545842469bfe,Public Opinion and Attributions for Health Care Costs,Katherine McCabe,tess,Political Science,https://www.tandfonline.com/doi/full/10.1080/17457289.2022.2113089,pending_source_audit,,sealed
25,KlarS44,c8ae4ce99f943e957d1578faaf9dc8cd9bf9f817b6336343a632f57f73051435,Gender Versus Party? Do Abortion Frames Affect Issue Engagement?,Samara Klar,tess,Political Science,NA,pending_source_audit,,sealed
26,willer845,caa46f82c002e92eb06b239052a7d3d5fafd4174110129882ea6cb9376fe2054,,,unknown,,,insufficient_metadata,Outcome-feature orphan absent from RA_study_features.csv; not auditable until source identity is recovered.,sealed
27,relihan1399,cdd6c552cd6aa7804b1ae044e2a171a0f234a33e924e06f7e16120e026a08ef6,Politics and purity: The effect of elite partisan cues on pathogen perceptions,Daniel Relihan,tess,"Psychology, Political Science, Public Health, Communication",NA,pending_source_audit,,sealed
28,Howard823,d561ce03161f377ff32fb42800cd41e08a38ba3cd9d5d3325b2f74b5b8ac0fdb,Understanding the Expense Prediction Bias,Chuck Howard; David Hardisty; Abigail Sussman; Melissa Knoll,tess,"Financial Judgement and Decision Making, Consumer Behaviour, Marketing, Psychology",https://journals.sagepub.com/doi/full/10.1177/00222437211068025,pending_source_audit,,sealed
29,MunschS68,e7dcd99987d594107f9cf8a5226b0bc396fcb60135f94d2db03825173abebab4,Gender and the Disparate Payoffs of Overwork,Christin Munsch; Lindsey Trimble O'Connor,tess,Sociology,https://journals.sagepub.com/doi/full/10.1177/01902725221141059,pending_source_audit,,sealed
30,immigration,ea27ac67765393f1184c19cb06157915a66106e45a2e873c96340dd33c3728de,"What Triggers Public Opposition to Immigration? Anxiety, Group Cues, and Immigration Threat",Ted Brader; Nicholas A. Valentino; Elizabeth Suhay,non_tess,Political Science,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1540-5907.2008.00353.x,pending_source_audit,,sealed
31,Enos700,ed334dd22afa1378be57eedcced3a342bfe3aa30f35b0f04f85140175f0a5e5b,Is Modern Racism Caused by Anti-Black Affect? An Experimental Investigation of the Attitudes Measured by Modern Racism Scales,Ryan Enos,tess,Political Science,https://scholar.harvard.edu/files/renos/files/carneyenos.pdf,pending_source_audit,,sealed
